te,pkt,byt
2016-06-01 00:05:00,9137379,5169739889
2016-06-01 00:10:00,12126441,8373608719
2016-06-01 00:15:00,13050846,9565382340
2016-06-01 00:20:00,11543577,8782554929
2016-06-01 00:25:00,11745197,8282543104
2016-06-01 00:30:00,11820894,8624656196
2016-06-01 00:35:00,11150321,7710377261
2016-06-01 00:40:00,11039623,7775423364
2016-06-01 00:45:00,10050571,7099582289
2016-06-01 00:50:00,11480438,8140890639
2016-06-01 00:55:00,11076632,7819238801
2016-06-01 01:00:00,11833502,8742520100
2016-06-01 01:05:00,11046897,7860972818
2016-06-01 01:10:00,10224927,6998358895
2016-06-01 01:15:00,10014428,6762782299
2016-06-01 01:20:00,9368705,6478665102
2016-06-01 01:25:00,9294899,6264978710
2016-06-01 01:30:00,10099545,6933169266
2016-06-01 01:35:00,10535343,7461890398
2016-06-01 01:40:00,9160610,6166658973
2016-06-01 01:45:00,9612721,6662498150
2016-06-01 01:50:00,9588914,6472138783
2016-06-01 01:55:00,9282509,6476652617
2016-06-01 02:00:00,11413886,8876841951
2016-06-01 02:05:00,9526622,6589463904
2016-06-01 02:10:00,9143432,6377131256
2016-06-01 02:15:00,8976361,6258591578
2016-06-01 02:20:00,8984343,6278884712
2016-06-01 02:25:00,7699031,4270006985
2016-06-01 02:30:00,9357414,6158548319
2016-06-01 02:35:00,9278521,6352538030
2016-06-01 02:40:00,9274564,6164244045
2016-06-01 02:45:00,8445222,5586761973
2016-06-01 02:50:00,7775713,5203268084
2016-06-01 02:55:00,7492629,4924332244
2016-06-01 03:00:00,12133382,8665061760
2016-06-01 03:05:00,11633047,8732205454
2016-06-01 03:10:00,12326239,8113829196
2016-06-01 03:15:00,10534747,8245923745
2016-06-01 03:20:00,10276431,7079219345
2016-06-01 03:25:00,10785522,6991476388
2016-06-01 03:30:00,10214804,7511369030
2016-06-01 03:35:00,10562410,7343068257
2016-06-01 03:40:00,10617763,7293872273
2016-06-01 03:45:00,8234103,5480113119
2016-06-01 03:50:00,10597040,7421888441
2016-06-01 03:55:00,11007961,7692409481
2016-06-01 04:00:00,11167021,7842202888
2016-06-01 04:05:00,10179266,7224435679
2016-06-01 04:10:00,9500665,6245045807
2016-06-01 04:15:00,9093706,5801880723
2016-06-01 04:20:00,9875190,6269649199
2016-06-01 04:25:00,7010990,4586867029
2016-06-01 04:30:00,6852687,4437240093
2016-06-01 04:35:00,6762567,4450252522
2016-06-01 04:40:00,7230675,4923703572
2016-06-01 04:45:00,6721286,4437577232
2016-06-01 04:50:00,6268910,4025549819
2016-06-01 04:55:00,6318519,4064094286
2016-06-01 05:00:00,7123615,4913322819
2016-06-01 05:05:00,7894808,5525693786
2016-06-01 05:10:00,8425248,6087765946
2016-06-01 05:15:00,7469878,5033966648
2016-06-01 05:20:00,7635683,5275277130
2016-06-01 05:25:00,7868059,5275903644
2016-06-01 05:30:00,8036984,5478122969
2016-06-01 05:35:00,7868752,5181635513
2016-06-01 05:40:00,7093447,4638592128
2016-06-01 05:45:00,7316145,4723878799
2016-06-01 05:50:00,7080942,4778621871
2016-06-01 05:55:00,7483674,5142206414
2016-06-01 06:00:00,8855966,6373702409
2016-06-01 06:05:00,14925233,11558607401
2016-06-01 06:10:00,10752692,7743651432
2016-06-01 06:15:00,13351179,10247890712
2016-06-01 06:20:00,12265244,8915522671
2016-06-01 06:25:00,13979315,10901918719
2016-06-01 06:30:00,11205788,8561739296
2016-06-01 06:35:00,9918626,7492838833
2016-06-01 06:40:00,8181114,5613839405
2016-06-01 06:45:00,8537756,5990350112
2016-06-01 06:50:00,8559045,5922335059
2016-06-01 06:55:00,7459417,5067716610
2016-06-01 07:00:00,8424919,5883897457
2016-06-01 07:05:00,10377922,7376590419
2016-06-01 07:10:00,6621587,3360335646
2016-06-01 07:15:00,7585796,5472956843
2016-06-01 07:20:00,9032400,6209333266
2016-06-01 07:25:00,8684017,5840808933
2016-06-01 07:30:00,9497106,6566987988
2016-06-01 07:35:00,8620711,5653360207
2016-06-01 07:40:00,8499154,5776002395
2016-06-01 07:45:00,7805682,5311413634
2016-06-01 07:50:00,9134495,6990795984
2016-06-01 07:55:00,8361449,5804089342
2016-06-01 08:00:00,9117908,6405605745
2016-06-01 08:05:00,10441309,7732721111
2016-06-01 08:10:00,9774131,7039936015
2016-06-01 08:15:00,9731763,7021908056
2016-06-01 08:20:00,8988447,6098027472
2016-06-01 08:25:00,9532777,6310311935
2016-06-01 08:30:00,9463658,6332163345
2016-06-01 08:35:00,10633629,7545188845
2016-06-01 08:40:00,10108001,7098618529
2016-06-01 08:45:00,9424913,6386347156
2016-06-01 08:50:00,10095793,6991140112
2016-06-01 08:55:00,10030822,6826570384
2016-06-01 09:00:00,11319876,7891739034
2016-06-01 09:05:00,12435009,8776428434
2016-06-01 09:10:00,12644758,8885223755
2016-06-01 09:15:00,12047133,8258989636
2016-06-01 09:20:00,12216112,8219958933
2016-06-01 09:25:00,12148434,8718996544
2016-06-01 09:30:00,13030471,8905393506
2016-06-01 09:35:00,12466803,8681681650
2016-06-01 09:40:00,13431164,9287642503
2016-06-01 09:45:00,11967048,7945971593
2016-06-01 09:50:00,11592139,7903904477
2016-06-01 09:55:00,12347675,8287448096
2016-06-01 10:00:00,14004851,9850325065
2016-06-01 10:05:00,13321199,9387020880
2016-06-01 10:10:00,13192096,8888175706
2016-06-01 10:15:00,13474893,9039334489
