te,pkt,byt,label
2016-06-01 00:05:00,9137379,5169739889,0
2016-06-01 00:10:00,12126441,8373608719,0
2016-06-01 00:15:00,13050846,9565382340,0
2016-06-01 00:20:00,11543577,8782554929,0
2016-06-01 00:25:00,11745197,8282543104,0
2016-06-01 00:30:00,11820894,8624656196,0
2016-06-01 00:35:00,11150321,7710377261,0
2016-06-01 00:40:00,11039625,7775423444,1
2016-06-01 00:45:00,10050571,7099582289,0
2016-06-01 00:50:00,11480438,8140890639,0
2016-06-01 00:55:00,11076632,7819238801,0
2016-06-01 01:00:00,11833502,8742520100,0
2016-06-01 01:05:00,11046897,7860972818,0
2016-06-01 01:10:00,10224927,6998358895,0
2016-06-01 01:15:00,10014428,6762782299,0
2016-06-01 01:20:00,9368705,6478665102,0
2016-06-01 01:25:00,9294899,6264978710,0
2016-06-01 01:30:00,10099545,6933169266,0
2016-06-01 01:35:00,10535343,7461890398,0
2016-06-01 01:40:00,9160610,6166658973,0
2016-06-01 01:45:00,9612721,6662498150,0
2016-06-01 01:50:00,9588914,6472138783,0
2016-06-01 01:55:00,9282509,6476652617,0
2016-06-01 02:00:00,11413886,8876841951,0
2016-06-01 02:05:00,9526622,6589463904,0
2016-06-01 02:10:00,9143432,6377131256,0
2016-06-01 02:15:00,8976361,6258591578,0
2016-06-01 02:20:00,8984343,6278884712,0
2016-06-01 02:25:00,7699031,4270006985,0
2016-06-01 02:30:00,9357414,6158548319,0
2016-06-01 02:35:00,9278521,6352538030,0
2016-06-01 02:40:00,9274564,6164244045,0
2016-06-01 02:45:00,8445222,5586761973,0
2016-06-01 02:50:00,7775713,5203268084,0
2016-06-01 02:55:00,7492629,4924332244,0
2016-06-01 03:00:00,12133382,8665061760,0
2016-06-01 03:05:00,11633047,8732205454,0
2016-06-01 03:10:00,12326239,8113829196,0
2016-06-01 03:15:00,10534747,8245923745,0
2016-06-01 03:20:00,10276431,7079219345,0
2016-06-01 03:25:00,10785522,6991476388,0
2016-06-01 03:30:00,10214804,7511369030,0
2016-06-01 03:35:00,10562410,7343068257,0
2016-06-01 03:40:00,10617763,7293872273,0
2016-06-01 03:45:00,8234103,5480113119,0
2016-06-01 03:50:00,10597040,7421888441,0
2016-06-01 03:55:00,11007961,7692409481,0
